id_infiltracion_epoca_material,cod_masa,epoca,material,infiltracion_lluvia_porcentaje,area_m2
381,1817M2,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0.3,1635604
382,1817M3,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.3,1283988
383,1817M3,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.15,3960449
384,1817M3,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.15,15919483
385,1817M3,Miocè mitjà (Langhiense),Calcarenites bioclàstiques,0.15,4612583
386,1817M3,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0,33247584
387,1817M3,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0,2637667
388,1817M3,Pliocè superior,Calcarenites biclàstiques groguenques,0,20506413
389,1817M3,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.3,1287977
390,1817M3,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0.2,279686
391,1817M4,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.15,17338545
392,1817M4,Eoceno (Priaboniense),Margues a la base i calcàries a sostre,0,12839164
393,1817M4,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0,2910012
394,1817M4,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.05,1346780
395,1817M4,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,10120923
396,1817M4,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0.15,4745577
397,1817M5,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.1,19189347
398,1817M5,Eoceno (Priaboniense),Margues a la base i calcàries a sostre,0.05,1413509
399,1817M5,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0,6985539
400,1817M5,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.15,4611917
401,1817M5,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0,3963562
402,1817M6,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.1,21092956
403,1817M6,Eoceno (Priaboniense),Margues a la base i calcàries a sostre,0,8635581
404,1817M6,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0,7359
405,1817M6,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.05,115063
406,1817M6,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,13405706
407,1817M6,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0.15,733
408,1818M1,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.3,1538130
409,1818M1,Eocè (Bartonià),"Calcàries bioclàstiques, margues i calcàries",0.15,7223
410,1818M1,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.2,1736127
411,1818M1,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.15,229988
412,1818M1,Miocè mitjà (Langhiense),Calcarenites bioclàstiques,0.15,8107988
413,1818M1,Miocè mitjà (Serravalià),Llims i margues grises,0.02,30153205
414,1818M1,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0,13922
415,1818M1,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.02,1039587
416,1818M1,Pliocè superior,Calcarenites biclàstiques groguenques,0.02,2951008
417,1818M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.3,1155629
418,1818M1,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0.2,8825621
419,1818M2,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.2,5746854
420,1818M2,Eocè (Bartonià),"Calcàries bioclàstiques, margues i calcàries",0.15,254337
421,1818M2,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.3,1445471
422,1818M2,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.2,4980292
423,1818M2,Miocè mitjà (Langhiense),Calcarenites bioclàstiques,0.02,3349776
424,1818M2,Miocè mitjà (Serravalià),Llims i margues grises,0.2,352269
425,1818M2,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.15,99974
426,1818M2,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0,8186414
427,1818M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.02,11813090
428,1818M2,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0.02,1919636
429,1818M3,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.15,11659032
430,1818M3,Eocè (Bartonià),"Calcàries bioclàstiques, margues i calcàries",0,6734583
431,1818M3,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.15,955965
432,1818M3,Miocè mitjà (Serravalià),Llims i margues grises,0,881010
433,1818M3,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.15,2286
434,1818M3,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.15,299971
435,1818M3,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.22,2694165
436,1818M3,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0,8883589
437,1818M4,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.02,867786
438,1818M4,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.16,19413737
439,1818M4,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.06,12969015
440,1818M4,Miocè mitjà (Langhiense),Calcarenites bioclàstiques,0.2,16920
441,1818M4,Miocè mitjà (Serravalià),Llims i margues grises,0.05,6896513
442,1818M4,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.35,716601
443,1818M4,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.15,4581
444,1818M5,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.12,8021565
445,1818M5,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.22,2065
446,1818M5,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.15,1410
447,1818M5,Miocè mitjà (Langhiense),Calcarenites bioclàstiques,0,1120738
448,1818M5,Miocè mitjà (Serravalià),Llims i margues grises,0.2,427884
449,1818M5,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.15,733414
450,1818M5,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0,206412
451,1818M5,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0,3414384
452,1818M5,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0,8005427
453,1819M1,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.15,2129535
454,1819M1,Eoceno (Priaboniense),Margues a la base i calcàries a sostre,0,198564
455,1819M1,Eocè (Bartonià),"Calcàries bioclàstiques, margues i calcàries",0.15,5076971
456,1819M1,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.22,15333107
457,1819M1,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.14,38648872
458,1819M1,Miocè mitjà (Langhiense),Calcarenites bioclàstiques,0,9911113
459,1819M1,Miocè mitjà (Serravalià),Llims i margues grises,0,5697252
460,1819M1,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.15,1679580
461,1819M1,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.05,3335631
462,1819M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.15,3328915
463,1819M1,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0,13983586
464,1819M2,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.15,968518
465,1819M2,Eocè (Bartonià),"Calcàries bioclàstiques, margues i calcàries",0,4154632
466,1819M2,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.3,2140439
